Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1986-07-01,1.1640848933942,2.52779320670371,-1.32091913456717,-3.51568720765317,4.74043357014576,,,,,,,,,,,,,,,,,,,1986-07-01,1.97665146809885,3.37054374417973,0.2125507539318
1986-10-01,1.07023290039463,2.4780960660174,-1.36591523442796,-3.47047835694661,5.43372024097983,,,,,,,,,,,,,,,,,,,1986-10-01,1.96600772980125,3.36754816138808,0.212469465196671
1987-01-01,1.03863242156728,2.36031810001733,-1.28173143187538,-3.46390359292036,5.58355794452513,,,,,,,,,,,,,,,,,,,1987-01-01,1.95005275395767,3.36661273545823,0.212480744684965
1987-04-01,1.38337084374993,2.48687138623724,-1.061404067201,-3.43614692018787,5.32534245808233,,,,,,,,,,,,,,,,,,,1987-04-01,1.9712146467613,3.36647842581995,0.212455378622192
1987-07-01,1.48622011774336,2.4995319938631,-0.971001088602007,-3.06455403089149,5.06728319439778,,,,,,,,,,,,,,,,,,,1987-07-01,1.99484736994668,3.36645900074861,0.212437133264687
1987-10-01,1.57661956318465,2.53601334038848,-0.916465452281108,-2.73182079619323,4.73126637119914,,,,,,,,,,,,,,,,,,,1987-10-01,2.02152233349193,3.36578116886885,0.212436335693655
1988-01-01,1.50942883935148,2.50122121226568,-0.949452991179196,-2.51124677184271,3.84046534342577,,,,,,,,,,,,,,,,,,,1988-01-01,2.02643127066745,3.36535470214225,0.212486128528085
1988-04-01,1.57938394205655,2.51774245725125,-0.89573947035163,-2.34894871507072,3.6315274268164,,,,,,,,,,,,,,,,,,,1988-04-01,2.0368784494026,3.36564176379649,0.212549308182548
1988-07-01,1.78524013294499,2.549160216183,-0.720769214787282,-1.95749231194895,4.10764202743245,,,,,,,,,,,,,,,,,,,1988-07-01,2.05136222905261,3.36617606327027,0.212617212740993
1988-10-01,1.88692166491526,2.54491689121277,-0.61491618666178,-1.58743289630706,4.33535518735328,,,,,,,,,,,,,,,,,,,1988-10-01,2.05424702437208,3.36720963148277,0.212701473717088
1989-01-01,2.03723239888604,2.57490665246342,-0.494087562741704,-1.27804539294789,5.05328514450551,,,,,,,,,,,,,,,,,,,1989-01-01,2.06308202028573,3.36840791050505,0.212784726141558
1989-04-01,2.16991494985876,2.58014981758398,-0.36655942329653,-0.966531001596877,4.75357573920987,,,,,,,,,,,,,,,,,,,1989-04-01,2.06514966687554,3.36965578832796,0.212875042267225
1989-07-01,2.11718671917962,2.57518046299503,-0.414402418056384,-0.990992551874115,5.20255128192721,,,,,,,,,,,,,,,,,,,1989-07-01,2.05850940167106,3.37169496092789,0.212952503962869
1989-10-01,2.27631979345188,2.61540982835279,-0.29481772720854,-0.916706143939791,6.02904687318748,,,,,,,,,,,,,,,,,,,1989-10-01,2.07092160516072,3.37455292131899,0.212971445695106
1990-01-01,2.48134892876586,2.67721097014679,-0.150543595857481,-0.731780581792918,5.853105512315,,,,,,,,,,,,,,,,,,,1990-01-01,2.10111002476526,3.3773065248718,0.212949638812081
1990-04-01,2.39850039853435,2.65557700585716,-0.212124370380983,-0.772506805335979,5.30728039468641,,,,,,,,,,,,,,,,,,,1990-04-01,2.10520777404204,3.38065944178989,0.212918307257417
1990-07-01,2.44335536150604,2.70083100793062,-0.211757373092441,-0.933539857301184,5.17577281568664,,,,,,,,,,,,,,,,,,,1990-07-01,2.12591112302398,3.38431766327921,0.212860575668535
